Grid_ID,Longitude,Latitude,Species_N_All,Species_N_Inf,So_Pi,Df_Pi,Co_Pi,Sk_Pi,Um_Pi,Ra_Pi,Cp_Pi,Pa_Pi,Ck_Pi
690,91.75565422,29.78849102,553,476,0.132352941,0.138655462,0.050420168,0.12605042,0.084033613,0.157563025,0.176470588,0.102941176,0.031512605
691,120.2347872,34.0661514,8,7,0.285714286,0,0,0,0,0.428571429,0,0.285714286,0
692,110.6820444,28.53428465,809,684,0.116959064,0.24122807,0.051169591,0.100877193,0.106725146,0.204678363,0.064327485,0.106725146,0.007309942
693,112.7723184,29.39638303,264,231,0.173160173,0.220779221,0.060606061,0.108225108,0.073593074,0.177489177,0.103896104,0.064935065,0.017316017
694,78.98839673,41.52928391,33,27,0.222222222,0.074074074,0.074074074,0.111111111,0,0.296296296,0.148148148,0.074074074,0
695,113.979982,32.92226918,100,88,0.136363636,0.193181818,0.045454545,0.147727273,0.034090909,0.170454545,0.079545455,0.136363636,0.056818182
696,107.6140227,27.61604896,1190,1027,0.139240506,0.229795521,0.06037001,0.089581305,0.112950341,0.193768257,0.068159688,0.096397274,0.009737098
697,101.0314433,22.01273562,3782,3216,0.117537313,0.246268657,0.02829602,0.117537313,0.060634328,0.24409204,0.061256219,0.122823383,0.001554726
698,74.80916546,37.14065222,118,105,0.104761905,0.085714286,0.076190476,0.104761905,0.038095238,0.285714286,0.219047619,0.066666667,0.019047619
699,85.79260461,48.391048,61,57,0.105263158,0.105263158,0.01754386,0.105263158,0.105263158,0.298245614,0.140350877,0.087719298,0.035087719
700,94.01557299,34.62093351,29,25,0.2,0,0,0.08,0.04,0.2,0.28,0.2,0
701,116.0352755,45.22746295,15,14,0.071428571,0.142857143,0,0.071428571,0.142857143,0.285714286,0.142857143,0.071428571,0.071428571
702,97.90274038,42.66833212,68,60,0.15,0.2,0.066666667,0.116666667,0.016666667,0.183333333,0.183333333,0.083333333,0
703,111.4320257,44.36588765,93,88,0.159090909,0.193181818,0,0.147727273,0.102272727,0.125,0.170454545,0.102272727,0
704,130.6281802,43.08539396,463,396,0.075757576,0.174242424,0.055555556,0.118686869,0.088383838,0.217171717,0.159090909,0.098484848,0.012626263
705,108.4776874,36.52068304,202,185,0.091891892,0.237837838,0.059459459,0.07027027,0.07027027,0.178378378,0.140540541,0.108108108,0.043243243
706,93.27096418,38.11242768,67,60,0.183333333,0.083333333,0.116666667,0.15,0.033333333,0.183333333,0.133333333,0.116666667,0
707,121.5236071,47.64734574,71,61,0.098360656,0.147540984,0.016393443,0.114754098,0.114754098,0.196721311,0.180327869,0.049180328,0.081967213
708,101.8583979,34.49313851,630,559,0.11627907,0.143112701,0.026833631,0.132379249,0.082289803,0.150268336,0.225402504,0.112701252,0.010733453
709,90.30717574,40.40072922,80,75,0.106666667,0.04,0.053333333,0.146666667,0.066666667,0.213333333,0.24,0.133333333,0
710,88.92658318,28.41882334,33,28,0.178571429,0.071428571,0.035714286,0.107142857,0.142857143,0.178571429,0.142857143,0.035714286,0.107142857
711,117.6494546,37.18725319,124,106,0.141509434,0.179245283,0.075471698,0.103773585,0.037735849,0.150943396,0.132075472,0.179245283,0
712,98.64408853,41.36787641,69,61,0.147540984,0.213114754,0.06557377,0.114754098,0.016393443,0.180327869,0.180327869,0.081967213,0
713,86.70994399,32.53094016,5,5,0,0.4,0,0,0,0,0.2,0.4,0
714,104.6669585,25.71564663,1299,1116,0.126344086,0.269713262,0.038530466,0.097670251,0.08781362,0.194444444,0.098566308,0.084229391,0.002688172
715,102.8844052,35.44384096,1256,1115,0.123766816,0.161434978,0.050224215,0.086098655,0.088789238,0.189237668,0.172197309,0.095964126,0.032286996
