Species,FlowerID,Trait
Aegopodium latifolium,F00370,I
Aegopodium tadshikorum,F00371,I
Ammi majus,F00372,I
Anethum graveolens,F00373,I
Angelica acutiloba,F00374,I
Angelica amurensis,F00375,I
Angelica anomala,F00376,I
Angelica apaensis,F00377,I
Angelica balangshanensis,F00378,I
Angelica biserrata,F00379,I
Angelica cartilaginomarginata,F00380,I
Angelica cincta,F00381,I
Angelica czernaevia,F00382,I
Angelica dabashanensis,F00383,I
Angelica dahurica,F00384,I
Angelica dailingensis,F00385,I
Angelica decursiva,F00386,I
Angelica dielsii,F00387,I
Angelica duclouxii,F00388,I
Angelica fargesii,F00389,I
Angelica genuflexa,F00390,I
Angelica gigas,F00391,I
Angelica glauca,F00392,I
Angelica hirsutiflora,F00393,I
Angelica kangdingensis,F00394,I
Angelica laxifoliata,F00395,I
Angelica likiangensis,F00396,I
Angelica longicaudata,F00397,I
Angelica longipedicellata,F00398,I
Angelica longipes,F00399,I
Angelica maowenensis,F00400,I
Angelica megaphylla,F00401,I
Angelica morii,F00402,I
Angelica morrisonicola,F00403,I
Angelica muliensis,F00404,I
Angelica multicaulis,F00405,I
Angelica nakaiana,F00406,I
Angelica nitida,F00407,I
Angelica oncosepala,F00408,I
Angelica paeoniifolia,F00409,I
Angelica pinnatiloba,F00410,I
Angelica polymorpha,F00411,I
Angelica pseudoselinum,F00412,I
Angelica saxatilis,F00413,I
Angelica setchuenensis,F00414,I
Angelica sinensis,F00415,I
Angelica songpanensis,F00416,I
Angelica sylvestris,F00417,I
Angelica tarokoensis,F00418,I
Angelica ternata,F00419,I
Angelica tianmuensis,F00420,I
Angelica tsinlingensis,F00421,I
Angelica valida,F00422,I
Angelica yanyuanensis,F00423,I
Anthriscus nemorosa,F00424,I
Anthriscus sylvestris,F00425,I
Aphanopleura capillifolia,F00426,I
Aphanopleura leptoclada,F00427,I
Apium graveolens,F00428,I
Archangelica brevicaulis,F00429,I
Archangelica decurrens,F00430,I
Arcuatopterus linearifolius,F00431,I
Arcuatopterus sikkimensis,F00432,I
Arcuatopterus thalictrioideus,F00433,I
Aulacospermum anomalum,F00434,I
Aulacospermum gonocaulum,F00435,I
Aulacospermum roseum,F00436,I
Aulacospermum stylosum,F00437,I
Berula erecta,F00438,I
Bupleurum alatum,F00439,I
Bupleurum angustissimum,F00440,I
Bupleurum aureum,F00441,I
Bupleurum bicaule,F00442,I
Bupleurum boissieuanum,F00443,I
Bupleurum candollei,F00444,I
Bupleurum chaishoui,F00445,I
Bupleurum chinense,F00446,I
Bupleurum commelynoideum,F00447,I
Bupleurum condensatum,F00448,I
Bupleurum dalhousieanum,F00449,I
Bupleurum densiflorum,F00450,I
Bupleurum dielsianum,F00451,I
Bupleurum euphorbioides,F00452,I
Bupleurum exaltatum,F00453,I
Bupleurum gracilipes,F00454,I
Bupleurum gracillimum,F00455,I
Bupleurum gulczense,F00456,I
Bupleurum hamiltonii,F00457,I
Bupleurum kaoi,F00458,I
Bupleurum komarovianum,F00459,I
Bupleurum krylovianum,F00460,I
Bupleurum kunmingense,F00461,I
Bupleurum kweichowense,F00462,I
Bupleurum longicaule,F00463,I
Bupleurum longiradiatum,F00464,I
Bupleurum luxiense,F00465,I
