FlowerID,Inflorescence,OccNum_All,OccNum_Beetles,OccNum_Flies,OccNum_Bees,OccNum_Wasps,OccNum_Butterflies,OccNum_Moths
F10169,D,0.24794708,0.071428571,0.185958254,0.360655738,0.113333333,0.434889435,0.17525196
F10170,D,0.061131387,0,0.038899431,0.131147541,0.006666667,0.143325143,0.024076148
F10172,D,0.268932482,0.178571429,0.275142315,0.426229508,0.133333333,0.44963145,0.153415454
F10173,D,0.236085766,0.0625,0.225806452,0.31147541,0.126666667,0.294021294,0.220044793
F10174,D,0.125912409,0.026785714,0.070208729,0.196721311,0.033333333,0.22031122,0.105823068
F10175,I,0.089644161,0.008928571,0.031309298,0.081967213,0,0.156429156,0.091265398
F10176,D,0.171076642,0.053571429,0.162239089,0.262295082,0.066666667,0.300573301,0.100783875
F10177,D,0.137089416,0.035714286,0.136622391,0.180327869,0.04,0.21048321,0.100223964
F10179,D,0.117016423,0.008928571,0.057874763,0.114754098,0.006666667,0.191646192,0.117021277
F10180,D,0.13229927,0.026785714,0.056925996,0.114754098,0.046666667,0.216216216,0.133818589
F10181,D,0.07709854,0.008928571,0.018975332,0.06557377,0,0.139230139,0.080067189
F10182,D,0.004790146,0,0.0028463,0.016393443,0,0.00982801,0.002799552
F10183,I,0.07709854,0.008928571,0.049335863,0.163934426,0.026666667,0.143325143,0.0537514
F10184,D,0.618385036,0.428571429,0.436432638,0.590163934,0.42,0.696150696,0.70212766
F10185,D,0.171076642,0.035714286,0.179316888,0.163934426,0.046666667,0.212940213,0.156774916
F10186,I,0.079607664,0.035714286,0.038899431,0.06557377,0.006666667,0.158067158,0.059350504
F10191,I,0.124771898,0.017857143,0.009487666,0.06557377,0,0.25962326,0.119820829
F10194,I,0.122034672,0.044642857,0.073055028,0.131147541,0.053333333,0.23013923,0.087346025
F10197,I,0.025547445,0,0.018026565,0.049180328,0,0.048321048,0.017357223
F10202,D,0.131614964,0.035714286,0.140417457,0.147540984,0.04,0.180999181,0.105823068
F10205,I,0.068430657,0.017857143,0.026565465,0.114754098,0.02,0.146601147,0.045352744
F10207,I,0.049270073,0.017857143,0.024667932,0.147540984,0.026666667,0.088452088,0.037513998
F10208,D,0.487226277,0.473214286,0.530360531,0.672131148,0.48,0.57985258,0.393617021
F10213,I,0.004333942,0,0.004743833,0,0,0.001638002,0.006718925
F10214,I,0.055656934,0.026785714,0.119544592,0.032786885,0.046666667,0.048321048,0.026315789
F10217,I,0.198905109,0.116071429,0.250474383,0.344262295,0.153333333,0.228501229,0.152295633
F10220,I,0.032162409,0.008928571,0.017077799,0.049180328,0.02,0.072072072,0.015677492
F10221,I,0.111770073,0.017857143,0.004743833,0.049180328,0,0.225225225,0.114781635
F10229,I,0.083485401,0.044642857,0.131878558,0.114754098,0.066666667,0.112203112,0.038073908
F10234,I,0.023038321,0.017857143,0.012333966,0.06557377,0,0.040950041,0.017917133
F10235,I,0.084169708,0.035714286,0.069259962,0.147540984,0.113333333,0.161343161,0.038633819
F10236,I,0.135492701,0.053571429,0.111005693,0.180327869,0.04,0.234234234,0.09406495
F10240,D,0.112226277,0.017857143,0.0056926,0.06557377,0,0.224406224,0.115341545
F10243,I,0.071395985,0.026785714,0.045540797,0.147540984,0.02,0.152334152,0.035834267
F10245,I,0.071167883,0.008928571,0.040796964,0.049180328,0.02,0.128583129,0.058790594
F10250,I,0.196167883,0.080357143,0.188804554,0.147540984,0.066666667,0.339066339,0.122620381
F10252,I,0.000912409,0,0,0,0,0.003276003,0
F10260,I,0.131158759,0.053571429,0.085388994,0.229508197,0.066666667,0.238329238,0.091825308
F10261,I,0.055885036,0.026785714,0.120493359,0.032786885,0.046666667,0.048321048,0.026315789
F10269,I,0.030793796,0.008928571,0.007590133,0.032786885,0.006666667,0.089271089,0.007838746
F10270,I,0.208029197,0.071428571,0.19829222,0.196721311,0.066666667,0.276003276,0.188129899
F10271,I,0.229014599,0.107142857,0.215370019,0.278688525,0.113333333,0.37018837,0.156215006
F10280,I,0.101961679,0.080357143,0.146110057,0.098360656,0.053333333,0.124488124,0.066069429
F10281,D,0.129105839,0.0625,0.181214421,0.229508197,0.093333333,0.176904177,0.069428891
F10285,I,0.046532847,0.098214286,0.05028463,0.180327869,0.1,0.053235053,0.02743561
F10290,I,0.109032847,0.026785714,0.068311195,0.180327869,0.046666667,0.219492219,0.065509518
F10292,I,0.052007299,0.008928571,0.033206831,0.049180328,0.006666667,0.128583129,0.017357223
F10298,I,0.146441606,0.053571429,0.173624288,0.245901639,0.073333333,0.226044226,0.084546473
F10299,I,0.178375912,0.116071429,0.092030361,0.229508197,0.086666667,0.20966421,0.217805151
F10301,I,0.093293796,0.026785714,0.061669829,0.147540984,0.026666667,0.155610156,0.077267637
F10302,I,0.08645073,0.026785714,0.132827324,0.049180328,0.046666667,0.136773137,0.033034714
F10303,I,0.087363139,0.035714286,0.05313093,0.06557377,0.02,0.199017199,0.04087346
F10305,I,0.046532847,0.017857143,0.014231499,0.06557377,0.04,0.076986077,0.046472564
F10314,I,0.036040146,0,0.015180266,0.032786885,0,0.103194103,0.007838746
F10316,I,0.064781022,0.017857143,0.030360531,0.06557377,0.006666667,0.16953317,0.021276596
F10318,I,0.032162409,0,0.019924099,0.098360656,0.013333333,0.081900082,0.006718925
F10332,I,0.003421533,0,0.001897533,0.016393443,0,0.008190008,0.001119821
F10333,I,0.001824818,0,0,0,0,0.006552007,0
F10338,I,0.083485401,0.053571429,0.04743833,0.147540984,0.02,0.181818182,0.042553191
F10339,I,0.00729927,0,0.018975332,0,0,0.005733006,0.002799552
F10345,I,0.00205292,0,0.001897533,0,0,0.005733006,0
F10348,I,0.092153285,0.017857143,0.043643264,0.114754098,0.026666667,0.188370188,0.064389698
F10358,D,0.104014599,0.044642857,0.091081594,0.081967213,0,0.150696151,0.092945129
F10359,D,0,0,0,0,0,0,0
F10362,D,0.025091241,0,0.008538899,0.06557377,0.006666667,0.036036036,0.029115342
F10369,I,0.37705292,0.419642857,0.453510436,0.606557377,0.393333333,0.473382473,0.254199328
F10374,I,0.132983577,0.0625,0.092979127,0.147540984,0.053333333,0.215397215,0.110862262
F10380,I,0.150547445,0.0625,0.166982922,0.163934426,0.073333333,0.262080262,0.076147816
F10382,D,0.015282847,0.008928571,0.007590133,0.081967213,0.02,0.028665029,0.008398656
F10391,I,0.100593066,0.151785714,0.086337761,0.147540984,0.046666667,0.126126126,0.091265398
F10396,I,0.008895985,0,0.018975332,0.016393443,0,0.00982801,0.003359462
F10399,I,0.06774635,0,0.04743833,0.081967213,0.006666667,0.092547093,0.071668533
F10400,I,0.097399635,0.053571429,0.136622391,0.114754098,0.06,0.144963145,0.047032475
F10402,I,0.061359489,0.017857143,0.043643264,0.114754098,0.02,0.104832105,0.046472564
F10407,I,0.123175182,0.053571429,0.15654649,0.147540984,0.073333333,0.183456183,0.069988802
F10411,I,0.105383212,0.017857143,0.081593928,0.114754098,0.006666667,0.167076167,0.090705487
F10414,I,0.159443431,0.044642857,0.168880455,0.163934426,0.086666667,0.264537265,0.09518477
F10421,I,0.21875,0.026785714,0.20113852,0.278688525,0.066666667,0.357903358,0.156774916
F10424,I,0.143020073,0.035714286,0.166034156,0.147540984,0.04,0.189189189,0.113101904
F10428,I,0.105839416,0.026785714,0.132827324,0.114754098,0.06,0.155610156,0.064389698
