Grid_ID,H_Rank,H_Rank_NoSo,H_Rank_NoDf,H_Rank_NoCo,H_Rank_NoSk,H_Rank_NoUm,H_Rank_NoRa,H_Rank_NoCp,H_Rank_NoPa,H_Rank_NoCk
918,0.7110091743119266,0.689908256880734,0.8302752293577982,0.6155963302752293,0.7293577981651376,0.6770642201834862,0.6165137614678899,0.6743119266055045,0.6752293577981652,0.9165137614678899
919,0.2798165137614679,0.25321100917431194,0.3018348623853211,0.3385321100917431,0.26605504587155965,0.30458715596330277,0.28623853211009176,0.24495412844036699,0.2467889908256881,0.3357798165137615
920,0.6100917431192661,0.5981651376146789,0.6944954128440367,0.5348623853211009,0.6568807339449542,0.5376146788990825,0.6201834862385321,0.5788990825688073,0.6064220183486239,0.671559633027523
921,0.3330275229357798,0.318348623853211,0.41376146788990825,0.3467889908256881,0.3541284403669725,0.28073394495412846,0.3201834862385321,0.3146788990825688,0.30275229357798167,0.44036697247706424
922,0.6403669724770642,0.6302752293577981,0.8091743119266055,0.5908256880733945,0.6706422018348623,0.5880733944954128,0.6018348623853211,0.6321100917431193,0.636697247706422,0.6880733944954128
923,0.5302752293577981,0.5082568807339449,0.6,0.44862385321100917,0.5357798165137615,0.5422018348623853,0.4917431192660551,0.47889908256880737,0.4944954128440367,0.7119266055045872
924,0.5412844036697247,0.518348623853211,0.44403669724770645,0.5091743119266054,0.5073394495412844,0.6266055045871559,0.4853211009174312,0.5504587155963303,0.5284403669724771,0.6330275229357798
925,0.6293577981651376,0.6119266055045871,0.7495412844036697,0.5770642201834862,0.6311926605504588,0.6009174311926605,0.5935779816513761,0.6082568807339449,0.6119266055045871,0.7385321100917431
926,0.7981651376146789,0.7825688073394496,0.7055045871559633,0.653211009174312,0.7706422018348624,0.7688073394495413,0.7467889908256881,0.8513761467889909,0.8834862385321101,0.8733944954128441
927,0.9908256880733946,0.9908256880733946,0.9733944954128441,0.998165137614679,0.9935779816513761,0.9844036697247707,0.9422018348623853,0.9935779816513761,0.981651376146789,0.9220183486238532
928,0.4917431192660551,0.4724770642201835,0.5412844036697247,0.47155963302752296,0.4935779816513762,0.43394495412844036,0.4779816513761468,0.4981651376146789,0.45321100917431195,0.5651376146788991
929,0.17889908256880735,0.17155963302752295,0.181651376146789,0.22110091743119267,0.16972477064220184,0.18440366972477065,0.1779816513761468,0.16605504587155964,0.16972477064220184,0.20550458715596331
930,0.8807339449541285,0.865137614678899,0.8477064220183487,0.8688073394495412,0.908256880733945,0.8366972477064221,0.9174311926605505,0.8577981651376146,0.9412844036697248,0.7348623853211009
931,0.6935779816513762,0.6935779816513762,0.6091743119266055,0.7862385321100918,0.6651376146788991,0.6238532110091743,0.6155963302752293,0.728440366972477,0.8495412844036697,0.544954128440367
